Date,Legist,Title,Content,num_legis,mum_sponsors,Term,substantiative_interest,pork_to_group,pork_to_district,sum,pork_bill
940318,吳敦義,軍人撫卹條例第十八條條文修正草案,落實軍人及眷屬之照顧（撫卹金）,5,49,601,1,1,0,2,1
940325,吳敦義,所得稅法第十七條條文修正草案,學費之特別扣除額應以每人所繳之學雜費為限,13,36,601,1,1,0,2,1
940401,吳敦義,所得稅法第十一條條文修正草案,保險人員申報時得扣除一定比例之業務必要費用,9,31,601,1,1,0,2,1
940506,吳敦義,土地稅法第二十八條之一條文修正草案,土地贈與文教基金會未能免爭土地增值稅，修正之,2,48,601,1,1,0,2,1
940506,吳敦義,敬老福利生活津貼暫行條例第三條條文修正草案,放寬請領資格之門檻,5,52,601,1,1,0,2,1
940527,吳敦義,洗錢防制法部分條文修正草案,給予法官較大權限；起訴期間禁止被告的高消費行為,1,65,601,0,0,0,0,0
940913,吳敦義,日據時代日本政府國庫券及債券處理條例草案,就是保障日據時代持有日本債券者,2,49,602,0,0,0,0,0
940916,吳敦義,大陸地區人民來臺從事觀光活動條例草案,開放大陸人民觀光，振興經濟,11,56,602,0,0,0,0,0
941021,吳敦義,限制欠稅人或欠稅營利事業負責人出境實施條例草案,現行法令僅為行政命令位階,13,32,602,0,0,0,0,0
941125,吳敦義,使用牌照稅法第七條條文修正草案,民營汽車駕駛人訓練機構之教練車亦應免徵使用牌照稅,2,52,602,1,1,0,2,1
951013,吳敦義,國有財產法第五十三條條文修正草案,100平以上非公用國有土地增加須經立院同意，避免賤賣國產,3,51,604,0,0,0,0,0
960118,吳敦義,公職人員選舉罷免法部分條文修正草案,有關候選人於投票日當天仍公開發佈攻擊對手之負面消息以及針對票數之計算作相當規範,5,53,604,0,0,0,0,0
960118,吳敦義,總統副總統選舉罷免法第三十四條及第六十三條條文修正草案,有關候選人票數差距在百分之一內時之驗票及相關規範,2,55,604,0,0,0,0,0
940325,林耘生,老年農民福利津貼暫行條例第四條條文修正草案,放寬請領資格之限制,4,32,601,1,1,0,2,1
940520,林耘生,菸害防制法修正草案,加強國內煙害防制，落實煙草控制框架公約之精神,4,52,601,0,0,0,0,0
940527,林耘生,全民健康保險法部分條文修正草案,將受刑人全面納入全民健保,9,50,601,1,1,0,2,1
940916,林耘生,農業發展條例刪除第三十一條及第三十九條條文修正草案,有關限制耕地所有權移轉登記之相關規定不盡合理且不公平，為保障農民權益，故刪除之,2,30,602,0,0,0,0,0
941007,林耘生,就業服務法部分條文修正草案,現行規定對於一般雇主之限制與罰則皆極重,1,31,602,1,1,0,2,1
941028,林耘生,公職人員選舉罷免法部分條文修正草案,選舉公報所登載候選人之學經歷常有浮誇欺瞞之嫌，嚴重侵害選民知的權利,2,34,602,0,0,0,0,0
941206,林耘生,民法親屬編第一千零五十九條條文修正草案,有關換姓的規定,2,37,602,0,0,0,0,0
941206,林耘生,警察人員管理條例第十七條條文修正草案,現行條文規定初任警察職務免予試用之標準不符實情,1,30,602,0,0,0,0,0
950111,林耘生,電信法第三十二條條文修正草案,明文規定基地台之設置地點,8,61,602,0,0,0,0,0
950331,林耘生,債務催收行為法草案,將債務催收行為導入法制管理,7,39,603,0,0,0,0,0
950421,林耘生,高級中學法第十二條條文修正草案,有關附屬高中校長遴選之規定不合理,2,38,603,0,0,0,0,0
951110,林耘生,道路交通管理處罰條例第九條之一條文修正草案,44條違反法律保留原則，應當明文規定,3,39,604,0,0,0,0,0
960608,林耘生,國防部組織法第十一條條文修正草案,國防科研機構位階太低,12,42,605,0,0,0,0,0
940401,湯火聖,農產品標示法草案,規範農產品標示不清之問題,3,36,601,0,0,0,0,0
950331,湯火聖,國防部軍備局組織條例第五條條文修正草案,明訂中山科學研究院組織定位,9,37,603,0,0,0,0,0
950331,湯火聖,國防部參謀本部組織條例第三條、第六條及第七條條文修正草案,配合國防法修正,9,38,603,0,0,0,0,0
950407,湯火聖,國軍老舊眷村改建條例部分條文修正草案,保留眷村文化及其經費,21,47,603,1,1,0,2,1
951027,湯火聖,兵役法第十七條條文修正草案,將補充兵之軍事訓練廢除,3,30,604,0,0,0,0,0
951222,湯火聖,老年農民福利津貼暫行條例第四條條文修正草案,放寬領取資格之限制,6,30,604,1,1,0,2,1
